,"Davis, Laurie J.","Grant, Benjamin K.","Zager, Samuel Lewis"
first_choice,368.00,912.00,1239.00
"Davis, Laurie J.",,249.00,373.00
"Grant, Benjamin K.",155.00,,679.00
"Zager, Samuel Lewis",158.00,516.00,
exhaust,55.00,147.00,187.00
