,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E."
first_choice,899.00,613.00,657.00
"Arford, Poppy",,290.00,261.00
"Perreault, Corinne Ann",407.00,,257.00
"Wilson, Katherine E.",314.00,229.00,
exhaust,178.00,94.00,139.00
