,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E."
first_choice,41.45,28.26,30.29
"Arford, Poppy",,47.31,39.73
"Perreault, Corinne Ann",45.27,,39.12
"Wilson, Katherine E.",34.93,37.36,
exhaust,19.80,15.33,21.16
