,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J."
first_choice,892.00,978.00,623.00
"Abbott, Heather",,439.00,247.00
"Bell, Arthur L.",463.00,,296.00
"Fromuth, Peter J.",265.00,360.00,
exhaust,164.00,179.00,80.00
