,"Crafts, Lydia V.","Levesque, David J.","Pieh, Wendy"
first_choice,920.00,252.00,611.00
"Crafts, Lydia V.",,129.00,343.00
"Levesque, David J.",288.00,,133.00
"Pieh, Wendy",505.00,84.00,
exhaust,127.00,39.00,135.00
