,"Davis, Laurie J.","Grant, Benjamin K.","Zager, Samuel Lewis"
first_choice,14.61,36.20,49.19
"Davis, Laurie J.",,32.55,35.46
"Grant, Benjamin K.",49.52,,64.54
"Zager, Samuel Lewis",50.48,67.45,
