,"Bennett, Adrienne","Brakey, Eric L.","Crafts, Dale John"
first_choice,31.80,22.53,45.66
"Bennett, Adrienne",,28.70,35.05
"Brakey, Eric L.",27.23,,26.23
"Crafts, Dale John",43.09,37.21,
exhaust,29.68,34.08,38.72
