,"Bennett, Adrienne","Brakey, Eric L.","Crafts, Dale John"
first_choice,16920.00,11976.00,23665.00
"Bennett, Adrienne",,3375.00,8310.00
"Brakey, Eric L.",4576.00,,6079.00
"Crafts, Dale John",7167.00,4354.00,
exhaust,5177.00,4247.00,9276.00
