,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J."
first_choice,36.00,40.00,24.00
"Abbott, Heather",,44.95,39.18
"Bell, Arthur L.",52.12,,48.63
"Fromuth, Peter J.",29.55,36.70,
exhaust,18.33,18.35,12.20
