,"Curry, Glenn Chip","Pattavina, Charles F.","Stanicki, Robyn M."
first_choice,43.46,24.93,31.62
"Curry, Glenn Chip",,48.58,61.91
"Pattavina, Charles F.",44.88,,38.09
"Stanicki, Robyn M.",55.12,51.42,
