,"Crafts, Lydia V.","Levesque, David J.","Pieh, Wendy"
first_choice,49.90,13.49,36.61
"Crafts, Lydia V.",,57.83,71.86
"Levesque, David J.",36.24,,28.14
"Pieh, Wendy",63.76,42.17,
