,"Curry, Glenn Chip","Pattavina, Charles F.","Stanicki, Robyn M."
first_choice,2294.00,1316.00,1669.00
"Curry, Glenn Chip",,513.00,912.00
"Pattavina, Charles F.",811.00,,561.00
"Stanicki, Robyn M.",996.00,543.00,
exhaust,487.00,260.00,196.00
