condorcet winner: JOHANA BENCOMO,ANTOINETTE M REYES,JOHANA BENCOMO,ROBERT J PALACIOS
ANTOINETTE M REYES,,466.00,677.00
JOHANA BENCOMO,913.00,,922.00
ROBERT J PALACIOS,688.00,547.00,
