condorcet winner: JOHANA BENCOMO,ANTOINETTE M REYES,JOHANA BENCOMO,ROBERT J PALACIOS
ANTOINETTE M REYES,,33.79,49.60
JOHANA BENCOMO,66.21,,62.76
ROBERT J PALACIOS,50.40,37.24,
