Candidate 0000407ALEJANDRO SOTO-VIGIL                              0000001000007900
Candidate 0000408LINDA MAIO                                        0000002000007900
Candidate 0000409MERRILIE MITCHELL                                 0000003000007900
Candidate 0000113Write-In                                          0000004000007910
Precinct  0000069208210                                            0000069000000000
Precinct  0000070208300                                            0000070000000000
Precinct  0000071208310                                            0000071000000000
Precinct  0000072208400                                            0000072000000000
Precinct  0000073208500                                            0000073000000000
Precinct  0000074208510                                            0000074000000000
Precinct  0000075208600                                            0000075000000000
Precinct  0000076208610                                            0000076000000000
Precinct  0000077208650                                            0000077000000000
Precinct  0000078208700                                            0000078000000000
Precinct  0000079208800                                            0000079000000000
Precinct  0000080208810                                            0000080000000000
Precinct  0000081208900                                            0000081000000000
Precinct  0000082208910                                            0000082000000000
Precinct  0000083208920                                            0000083000000000
Precinct  0000084209000                                            0000084000000000
Precinct  0000085209010                                            0000085000000000
Precinct  0000086209100                                            0000086000000000
Precinct  0000087209110                                            0000087000000000
Precinct  0000088209200                                            0000088000000000
Precinct  0000089209300                                            0000089000000000
Precinct  0000090209310                                            0000090000000000
Precinct  0000091209400                                            0000091000000000
Precinct  0000092209410                                            0000092000000000
Precinct  0000093209510                                            0000093000000000
Precinct  0000094209600                                            0000094000000000
Precinct  0000095209610                                            0000095000000000
Precinct  0000096209700                                            0000096000000000
Precinct  0000097209710                                            0000097000000000
Precinct  0000098209800                                            0000098000000000
Precinct  0000099209900                                            0000099000000000
Precinct  0000100213100                                            0000100000000000
Precinct  0000101213300                                            0000101000000000
Precinct  0000102213400                                            0000102000000000
Precinct  0000103213500                                            0000103000000000
Precinct  0000104213600                                            0000104000000000
Precinct  0000105213700                                            0000105000000000
Precinct  0000106213800                                            0000106000000000
Precinct  0000107213900                                            0000107000000000
Precinct  0000108214100                                            0000108000000000
Precinct  0000109214200                                            0000109000000000
Precinct  0000110214300                                            0000110000000000
Precinct  0000111214400                                            0000111000000000
Precinct  0000112214500                                            0000112000000000
Precinct  0000113214600                                            0000113000000000
Precinct  0000114214800                                            0000114000000000
Precinct  0000115215100                                            0000115000000000
Precinct  0000116215120                                            0000116000000000
Precinct  0000117215200                                            0000117000000000
Precinct  0000118215300                                            0000118000000000
Precinct  0000119215500                                            0000119000000000
Precinct  0000120215610                                            0000120000000000
Precinct  0000121215700                                            0000121000000000
Precinct  0000122215800                                            0000122000000000
Precinct  0000123215900                                            0000123000000000
Precinct  0000124223000                                            0000124000000000
Precinct  0000125223010                                            0000125000000000
Precinct  0000126223200                                            0000126000000000
Precinct  0000127223300                                            0000127000000000
Precinct  0000128223400                                            0000128000000000
Precinct  0000129224000                                            0000129000000000
Precinct  0000130224200                                            0000130000000000
Precinct  0000131224400                                            0000131000000000
Precinct  0000132224500                                            0000132000000000
Precinct  0000133224600                                            0000133000000000
Precinct  0000134224700                                            0000134000000000
Precinct  0000135224800                                            0000135000000000
Precinct  0000136225000                                            0000136000000000
Precinct  0000137225100                                            0000137000000000
Precinct  0000138225200                                            0000138000000000
Precinct  0000139225400                                            0000139000000000
Precinct  0000140225600                                            0000140000000000
Precinct  0000141225700                                            0000141000000000
Precinct  0000142225710                                            0000142000000000
Precinct  0000143225810                                            0000143000000000
Precinct  0000144225900                                            0000144000000000
Precinct  0000145225910                                            0000145000000000
Precinct  0000146226100                                            0000146000000000
Precinct  0000147226200                                            0000147000000000
Precinct  0000148226300                                            0000148000000000
Precinct  0000149226400                                            0000149000000000
Precinct  0000150244000                                            0000150000000000
Precinct  0000151244100                                            0000151000000000
Precinct  0000152244200                                            0000152000000000
Precinct  0000153244300                                            0000153000000000
Precinct  0000154244400                                            0000154000000000
Precinct  0000155244500                                            0000155000000000
Precinct  0000156244600                                            0000156000000000
Precinct  0000157244700                                            0000157000000000
Precinct  0000158244800                                            0000158000000000
Precinct  0000159244900                                            0000159000000000
Precinct  0000160245000                                            0000160000000000
Precinct  0000161245100                                            0000161000000000
Precinct  0000162245200                                            0000162000000000
Precinct  0000163260100                                            0000163000000000
Precinct  0000164260300                                            0000164000000000
Precinct  0000165260400                                            0000165000000000
Precinct  0000166260610                                            0000166000000000
Precinct  0000167260800                                            0000167000000000
Precinct  0000168260900                                            0000168000000000
Precinct  0000169261000                                            0000169000000000
Precinct  0000170261300                                            0000170000000000
Precinct  0000171261400                                            0000171000000000
Precinct  0000172261600                                            0000172000000000
Precinct  0000173261700                                            0000173000000000
Precinct  0000174262000                                            0000174000000000
Precinct  0000175262100                                            0000175000000000
Precinct  0000176280100                                            0000176000000000
Precinct  0000177280500                                            0000177000000000
Precinct  0000178280700                                            0000178000000000
Precinct  0000179281000                                            0000179000000000
Precinct  0000180281300                                            0000180000000000
Precinct  0000181281600                                            0000181000000000
Precinct  0000182300000                                            0000182000000000
Precinct  0000183300100                                            0000183000000000
Precinct  0000184300110                                            0000184000000000
Precinct  0000185300120                                            0000185000000000
Precinct  0000186300140                                            0000186000000000
Precinct  0000187300150                                            0000187000000000
Precinct  0000188300170                                            0000188000000000
Precinct  0000189300180                                            0000189000000000
Precinct  0000190300210                                            0000190000000000
Precinct  0000191300300                                            0000191000000000
Precinct  0000192300400                                            0000192000000000
Precinct  0000193301100                                            0000193000000000
Precinct  0000194301200                                            0000194000000000
Precinct  0000195301400                                            0000195000000000
Precinct  0000196301520                                            0000196000000000
Precinct  0000197301800                                            0000197000000000
Precinct  0000198301900                                            0000198000000000
Precinct  0000199302000                                            0000199000000000
Precinct  0000200302100                                            0000200000000000
Precinct  0000201302200                                            0000201000000000
Precinct  0000202302400                                            0000202000000000
Precinct  0000203302500                                            0000203000000000
Precinct  0000204302510                                            0000204000000000
Precinct  0000205302700                                            0000205000000000
Precinct  0000206303000                                            0000206000000000
Precinct  0000207303300                                            0000207000000000
Precinct  0000208303400                                            0000208000000000
Precinct  0000209303500                                            0000209000000000
Precinct  0000210303600                                            0000210000000000
Precinct  0000211303800                                            0000211000000000
Precinct  0000212304000                                            0000212000000000
Precinct  0000213304120                                            0000213000000000
Precinct  0000214304200                                            0000214000000000
Precinct  0000215304500                                            0000215000000000
Precinct  0000216304600                                            0000216000000000
Precinct  0000217304700                                            0000217000000000
Precinct  0000218304800                                            0000218000000000
Precinct  0000219304900                                            0000219000000000
Precinct  0000220305000                                            0000220000000000
Precinct  0000221305010                                            0000221000000000
Precinct  0000222305100                                            0000222000000000
Precinct  0000223305400                                            0000223000000000
Precinct  0000224305410                                            0000224000000000
Precinct  0000225305600                                            0000225000000000
Precinct  0000226305700                                            0000226000000000
Precinct  0000227310000                                            0000227000000000
Precinct  0000228310100                                            0000228000000000
Precinct  0000229310200                                            0000229000000000
Precinct  0000230310300                                            0000230000000000
Precinct  0000231310400                                            0000231000000000
Precinct  0000232310500                                            0000232000000000
Precinct  0000233310600                                            0000233000000000
Precinct  0000234310700                                            0000234000000000
Precinct  0000235310900                                            0000235000000000
Precinct  0000236311100                                            0000236000000000
Precinct  0000237311200                                            0000237000000000
Precinct  0000238311400                                            0000238000000000
Precinct  0000239311500                                            0000239000000000
Precinct  0000240311700                                            0000240000000000
Precinct  0000241323000                                            0000241000000000
Precinct  0000242323200                                            0000242000000000
Precinct  0000243325100                                            0000243000000000
Precinct  0000244325200                                            0000244000000000
Precinct  0000245325300                                            0000245000000000
Precinct  0000246325400                                            0000246000000000
Precinct  0000247325500                                            0000247000000000
Precinct  0000248325510                                            0000248000000000
Precinct  0000249325600                                            0000249000000000
Precinct  0000250325700                                            0000250000000000
Precinct  0000251325800                                            0000251000000000
Precinct  0000252333100                                            0000252000000000
Precinct  0000253333200                                            0000253000000000
Precinct  0000254333210                                            0000254000000000
Precinct  0000255333400                                            0000255000000000
Precinct  0000256333410                                            0000256000000000
Precinct  0000257333500                                            0000257000000000
Precinct  0000258333510                                            0000258000000000
Precinct  0000259333600                                            0000259000000000
Precinct  0000260333800                                            0000260000000000
Precinct  0000261333900                                            0000261000000000
Precinct  0000262334000                                            0000262000000000
Precinct  0000263334100                                            0000263000000000
Precinct  0000264334600                                            0000264000000000
Precinct  0000265334700                                            0000265000000000
Precinct  0000266335000                                            0000266000000000
Precinct  0000267335100                                            0000267000000000
Precinct  0000268335200                                            0000268000000000
Precinct  0000269335300                                            0000269000000000
Precinct  0000270335400                                            0000270000000000
Precinct  0000271335500                                            0000271000000000
Precinct  0000272335700                                            0000272000000000
Precinct  0000273335710                                            0000273000000000
Precinct  0000274335810                                            0000274000000000
Precinct  0000275335900                                            0000275000000000
Precinct  0000276336100                                            0000276000000000
Precinct  0000277336200                                            0000277000000000
Precinct  0000278336400                                            0000278000000000
Precinct  0000279336500                                            0000279000000000
Precinct  0000280336600                                            0000280000000000
Precinct  0000281336710                                            0000281000000000
Precinct  0000282336900                                            0000282000000000
Precinct  0000283336910                                            0000283000000000
Precinct  0000284337000                                            0000284000000000
Precinct  0000285337100                                            0000285000000000
Precinct  0000286337110                                            0000286000000000
Precinct  0000287337200                                            0000287000000000
Precinct  0000288344000                                            0000288000000000
Precinct  0000289344010                                            0000289000000000
Precinct  0000290344100                                            0000290000000000
Precinct  0000291344200                                            0000291000000000
Precinct  0000292344400                                            0000292000000000
Precinct  0000293344500                                            0000293000000000
Precinct  0000294344600                                            0000294000000000
Precinct  0000295344700                                            0000295000000000
Precinct  0000296344800                                            0000296000000000
Precinct  0000297344900                                            0000297000000000
Precinct  0000298345000                                            0000298000000000
Precinct  0000299345100                                            0000299000000000
Precinct  0000300345200                                            0000300000000000
Precinct  0000301345310                                            0000301000000000
Precinct  0000302345400                                            0000302000000000
Precinct  0000303345500                                            0000303000000000
Precinct  0000304345600                                            0000304000000000
Precinct  0000305345700                                            0000305000000000
Precinct  0000306345800                                            0000306000000000
Precinct  0000307345900                                            0000307000000000
Precinct  0000308346000                                            0000308000000000
Precinct  0000309346100                                            0000309000000000
Precinct  0000310346200                                            0000310000000000
Precinct  0000311347110                                            0000311000000000
Precinct  0000312347200                                            0000312000000000
Precinct  0000313347300                                            0000313000000000
Precinct  0000314353300                                            0000314000000000
Precinct  0000315353310                                            0000315000000000
Precinct  0000316353400                                            0000316000000000
Precinct  0000317353500                                            0000317000000000
Precinct  0000318353600                                            0000318000000000
Precinct  0000319353800                                            0000319000000000
Precinct  0000320353900                                            0000320000000000
Precinct  0000321354000                                            0000321000000000
Precinct  0000322354100                                            0000322000000000
Precinct  0000323354110                                            0000323000000000
Precinct  0000324354300                                            0000324000000000
Precinct  0000325354400                                            0000325000000000
Precinct  0000326354500                                            0000326000000000
Precinct  0000327354700                                            0000327000000000
Precinct  0000328354900                                            0000328000000000
Precinct  0000329354910                                            0000329000000000
Precinct  0000330355000                                            0000330000000000
Precinct  0000331355100                                            0000331000000000
Precinct  0000332356000                                            0000332000000000
Precinct  0000333356200                                            0000333000000000
Precinct  0000334356210                                            0000334000000000
Precinct  0000335356500                                            0000335000000000
Precinct  0000336361000                                            0000336000000000
Precinct  0000337361130                                            0000337000000000
Precinct  0000338361200                                            0000338000000000
Precinct  0000339361300                                            0000339000000000
Precinct  0000340361500                                            0000340000000000
Precinct  0000341362100                                            0000341000000000
Precinct  0000342362110                                            0000342000000000
Precinct  0000343362300                                            0000343000000000
Precinct  0000344362500                                            0000344000000000
Precinct  0000345362510                                            0000345000000000
Precinct  0000346362600                                            0000346000000000
Precinct  0000347362700                                            0000347000000000
Precinct  0000348362800                                            0000348000000000
Precinct  0000349362900                                            0000349000000000
Precinct  0000350363000                                            0000350000000000
Precinct  0000351363100                                            0000351000000000
Precinct  0000352363200                                            0000352000000000
Precinct  0000353363310                                            0000353000000000
Precinct  0000354363600                                            0000354000000000
Precinct  0000355364200                                            0000355000000000
Precinct  0000356364300                                            0000356000000000
Precinct  0000357364310                                            0000357000000000
Precinct  0000358364400                                            0000358000000000
Precinct  0000359364510                                            0000359000000000
Precinct  0000360364600                                            0000360000000000
Precinct  0000361364700                                            0000361000000000
Precinct  0000362364800                                            0000362000000000
Precinct  0000363364900                                            0000363000000000
Precinct  0000364365000                                            0000364000000000
Precinct  0000365365200                                            0000365000000000
Precinct  0000366373100                                            0000366000000000
Precinct  0000367373400                                            0000367000000000
Precinct  0000368373500                                            0000368000000000
Precinct  0000369373900                                            0000369000000000
Precinct  0000370380200                                            0000370000000000
Precinct  0000371380300                                            0000371000000000
Precinct  0000372380400                                            0000372000000000
Precinct  0000373380600                                            0000373000000000
Precinct  0000374380700                                            0000374000000000
Precinct  0000375400100                                            0000375000000000
Precinct  0000376400200                                            0000376000000000
Precinct  0000377400300                                            0000377000000000
Precinct  0000378400400                                            0000378000000000
Precinct  0000379400500                                            0000379000000000
Precinct  0000380400600                                            0000380000000000
Precinct  0000381400700                                            0000381000000000
Precinct  0000382400800                                            0000382000000000
Precinct  0000383400900                                            0000383000000000
Precinct  0000384401100                                            0000384000000000
Precinct  0000385410100                                            0000385000000000
Precinct  0000386410300                                            0000386000000000
Precinct  0000387410400                                            0000387000000000
Precinct  0000388410500                                            0000388000000000
Precinct  0000389410600                                            0000389000000000
Precinct  0000390415000                                            0000390000000000
Precinct  0000391415200                                            0000391000000000
Precinct  0000392415300                                            0000392000000000
Precinct  0000393415500                                            0000393000000000
Precinct  0000394415600                                            0000394000000000
Precinct  0000395415800                                            0000395000000000
Precinct  0000396415900                                            0000396000000000
Precinct  0000397420500                                            0000397000000000
Precinct  0000398420600                                            0000398000000000
Precinct  0000399420700                                            0000399000000000
Precinct  0000400420900                                            0000400000000000
Precinct  0000401421000                                            0000401000000000
Precinct  0000402421100                                            0000402000000000
Precinct  0000403421400                                            0000403000000000
Precinct  0000404421510                                            0000404000000000
Precinct  0000405421700                                            0000405000000000
Precinct  0000406421900                                            0000406000000000
Precinct  0000407422000                                            0000407000000000
Precinct  0000408422100                                            0000408000000000
Precinct  0000409422300                                            0000409000000000
Precinct  0000410422600                                            0000410000000000
Precinct  0000411422700                                            0000411000000000
Precinct  0000412422810                                            0000412000000000
Precinct  0000413422900                                            0000413000000000
Precinct  0000414422910                                            0000414000000000
Precinct  0000415422920                                            0000415000000000
Precinct  0000416423000                                            0000416000000000
Precinct  0000417423400                                            0000417000000000
Precinct  0000418423500                                            0000418000000000
Precinct  0000419423600                                            0000419000000000
Precinct  0000420423610                                            0000420000000000
Precinct  0000421424000                                            0000421000000000
Precinct  0000422424100                                            0000422000000000
Precinct  0000423424300                                            0000423000000000
Precinct  0000424424400                                            0000424000000000
Precinct  0000425430100                                            0000425000000000
Precinct  0000426430400                                            0000426000000000
Precinct  0000427430600                                            0000427000000000
Precinct  0000428430700                                            0000428000000000
Precinct  0000429430900                                            0000429000000000
Precinct  0000430431100                                            0000430000000000
Precinct  0000431431800                                            0000431000000000
Precinct  0000432432000                                            0000432000000000
Precinct  0000433432110                                            0000433000000000
Precinct  0000434432200                                            0000434000000000
Precinct  0000435432300                                            0000435000000000
Precinct  0000436432400                                            0000436000000000
Precinct  0000437432600                                            0000437000000000
Precinct  0000438432700                                            0000438000000000
Precinct  0000439432810                                            0000439000000000
Precinct  0000440432900                                            0000440000000000
Precinct  0000441433100                                            0000441000000000
Precinct  0000442433200                                            0000442000000000
Precinct  0000443433400                                            0000443000000000
Precinct  0000444433500                                            0000444000000000
Precinct  0000445433610                                            0000445000000000
Precinct  0000446433700                                            0000446000000000
Precinct  0000447433900                                            0000447000000000
Precinct  0000448440100                                            0000448000000000
Precinct  0000449440300                                            0000449000000000
Precinct  0000450440400                                            0000450000000000
Precinct  0000451440610                                            0000451000000000
Precinct  0000452440800                                            0000452000000000
Precinct  0000453441100                                            0000453000000000
Precinct  0000454441300                                            0000454000000000
Precinct  0000455442100                                            0000455000000000
Precinct  0000456442600                                            0000456000000000
Precinct  0000457442700                                            0000457000000000
Precinct  0000458443000                                            0000458000000000
Precinct  0000459443100                                            0000459000000000
Precinct  0000460443300                                            0000460000000000
Precinct  0000461443400                                            0000461000000000
Precinct  0000462443500                                            0000462000000000
Precinct  0000463447200                                            0000463000000000
Precinct  0000464447600                                            0000464000000000
Precinct  0000465450300                                            0000465000000000
Precinct  0000466450400                                            0000466000000000
Precinct  0000467450610                                            0000467000000000
Precinct  0000468450800                                            0000468000000000
Precinct  0000469451000                                            0000469000000000
Precinct  0000470451510                                            0000470000000000
Precinct  0000471451600                                            0000471000000000
Precinct  0000472451700                                            0000472000000000
Precinct  0000473452100                                            0000473000000000
Precinct  0000474452200                                            0000474000000000
Precinct  0000475452400                                            0000475000000000
Precinct  0000476452500                                            0000476000000000
Precinct  0000477453100                                            0000477000000000
Precinct  0000478453300                                            0000478000000000
Precinct  0000479453400                                            0000479000000000
Precinct  0000480453500                                            0000480000000000
Precinct  0000481453900                                            0000481000000000
Precinct  0000482453920                                            0000482000000000
Precinct  0000483454100                                            0000483000000000
Precinct  0000484454500                                            0000484000000000
Precinct  0000485455000                                            0000485000000000
Precinct  0000486455100                                            0000486000000000
Precinct  0000487455300                                            0000487000000000
Precinct  0000488455400                                            0000488000000000
Precinct  0000489455500                                            0000489000000000
Precinct  0000490455700                                            0000490000000000
Precinct  0000491455900                                            0000491000000000
Precinct  0000492456200                                            0000492000000000
Precinct  0000493456500                                            0000493000000000
Precinct  0000494456600                                            0000494000000000
Precinct  0000495456900                                            0000495000000000
Precinct  0000496457100                                            0000496000000000
Precinct  0000497457300                                            0000497000000000
Precinct  0000498457400                                            0000498000000000
Precinct  0000499457500                                            0000499000000000
Precinct  0000500457700                                            0000500000000000
Precinct  0000501457900                                            0000501000000000
Precinct  0000502458200                                            0000502000000000
Precinct  0000503458300                                            0000503000000000
Precinct  0000504458500                                            0000504000000000
Precinct  0000505458800                                            0000505000000000
Precinct  0000506458900                                            0000506000000000
Precinct  0000507470400                                            0000507000000000
Precinct  0000508470600                                            0000508000000000
Precinct  0000509470900                                            0000509000000000
Precinct  0000510471800                                            0000510000000000
Precinct  0000511471900                                            0000511000000000
Precinct  0000512472000                                            0000512000000000
Precinct  0000513472200                                            0000513000000000
Precinct  0000514472300                                            0000514000000000
Precinct  0000515472400                                            0000515000000000
Precinct  0000516472500                                            0000516000000000
Precinct  0000517473300                                            0000517000000000
Precinct  0000518473400                                            0000518000000000
Precinct  0000519473500                                            0000519000000000
Precinct  0000520473600                                            0000520000000000
Precinct  0000521473800                                            0000521000000000
Precinct  0000522473900                                            0000522000000000
Precinct  0000523474010                                            0000523000000000
Precinct  0000524474020                                            0000524000000000
Precinct  0000525474300                                            0000525000000000
Precinct  0000526474500                                            0000526000000000
Precinct  0000527474600                                            0000527000000000
Precinct  0000528474700                                            0000528000000000
Precinct  0000529474900                                            0000529000000000
Precinct  0000530475000                                            0000530000000000
Precinct  0000531475100                                            0000531000000000
Precinct  0000532475200                                            0000532000000000
Precinct  0000533475500                                            0000533000000000
Precinct  0000534475520                                            0000534000000000
Precinct  0000535475540                                            0000535000000000
Precinct  0000536476100                                            0000536000000000
Precinct  0000537476110                                            0000537000000000
Precinct  0000538481200                                            0000538000000000
Precinct  0000539481410                                            0000539000000000
Precinct  0000540481500                                            0000540000000000
Precinct  0000541481800                                            0000541000000000
Precinct  0000542483000                                            0000542000000000
Precinct  0000543491000                                            0000543000000000
Precinct  0000544491100                                            0000544000000000
Precinct  0000545491200                                            0000545000000000
Precinct  0000546491300                                            0000546000000000
Precinct  0000547491500                                            0000547000000000
Precinct  0000548500100                                            0000548000000000
Precinct  0000549500110                                            0000549000000000
Precinct  0000550500120                                            0000550000000000
Precinct  0000551500130                                            0000551000000000
Precinct  0000552500140                                            0000552000000000
Precinct  0000553500200                                            0000553000000000
Precinct  0000554500210                                            0000554000000000
Precinct  0000555500230                                            0000555000000000
Precinct  0000556500300                                            0000556000000000
Precinct  0000557500310                                            0000557000000000
Precinct  0000558500320                                            0000558000000000
Precinct  0000559500340                                            0000559000000000
Precinct  0000560500400                                            0000560000000000
Precinct  0000561500410                                            0000561000000000
Precinct  0000562500500                                            0000562000000000
Precinct  0000563500600                                            0000563000000000
Precinct  0000564500700                                            0000564000000000
Precinct  0000565500910                                            0000565000000000
Precinct  0000566501000                                            0000566000000000
Precinct  0000567501200                                            0000567000000000
Precinct  0000568501300                                            0000568000000000
Precinct  0000569501400                                            0000569000000000
Precinct  0000570501410                                            0000570000000000
Precinct  0000571501600                                            0000571000000000
Precinct  0000572501610                                            0000572000000000
Precinct  0000573501620                                            0000573000000000
Precinct  0000574501630                                            0000574000000000
Precinct  0000575501640                                            0000575000000000
Precinct  0000576501800                                            0000576000000000
Precinct  0000577501830                                            0000577000000000
Precinct  0000578501840                                            0000578000000000
Precinct  0000579501910                                            0000579000000000
Precinct  0000580502000                                            0000580000000000
Precinct  0000581502010                                            0000581000000000
Precinct  0000582502020                                            0000582000000000
Precinct  0000583502030                                            0000583000000000
Precinct  0000584502100                                            0000584000000000
Precinct  0000585502200                                            0000585000000000
Precinct  0000586502210                                            0000586000000000
Precinct  0000587502220                                            0000587000000000
Precinct  0000588502400                                            0000588000000000
Precinct  0000589502410                                            0000589000000000
Precinct  0000590502500                                            0000590000000000
Precinct  0000591502600                                            0000591000000000
Precinct  0000592502710                                            0000592000000000
Precinct  0000593502720                                            0000593000000000
Precinct  0000594502740                                            0000594000000000
Precinct  0000595502800                                            0000595000000000
Precinct  0000596502900                                            0000596000000000
Precinct  0000597502920                                            0000597000000000
Precinct  0000598520110                                            0000598000000000
Precinct  0000599520210                                            0000599000000000
Precinct  0000600520220                                            0000600000000000
Precinct  0000601520230                                            0000601000000000
Precinct  0000602520240                                            0000602000000000
Precinct  0000603520300                                            0000603000000000
Precinct  0000604520310                                            0000604000000000
Precinct  0000605520320                                            0000605000000000
Precinct  0000606520400                                            0000606000000000
Precinct  0000607520420                                            0000607000000000
Precinct  0000608520500                                            0000608000000000
Precinct  0000609520600                                            0000609000000000
Precinct  0000610520610                                            0000610000000000
Precinct  0000611520630                                            0000611000000000
Precinct  0000612520700                                            0000612000000000
Precinct  0000613520710                                            0000613000000000
Precinct  0000614520810                                            0000614000000000
Precinct  0000615520820                                            0000615000000000
Precinct  0000616520840                                            0000616000000000
Precinct  0000617520860                                            0000617000000000
Precinct  0000618520870                                            0000618000000000
Precinct  0000619521100                                            0000619000000000
Precinct  0000620521110                                            0000620000000000
Precinct  0000621521300                                            0000621000000000
Precinct  0000622521500                                            0000622000000000
Precinct  0000623522000                                            0000623000000000
Precinct  0000624522020                                            0000624000000000
Precinct  0000625522110                                            0000625000000000
Precinct  0000626522120                                            0000626000000000
Precinct  0000627522130                                            0000627000000000
Precinct  0000628522140                                            0000628000000000
Precinct  0000629522150                                            0000629000000000
Precinct  0000630522200                                            0000630000000000
Precinct  0000631522400                                            0000631000000000
Precinct  0000632523100                                            0000632000000000
Precinct  0000633523110                                            0000633000000000
Precinct  0000634523300                                            0000634000000000
Precinct  0000635523700                                            0000635000000000
Precinct  0000636523710                                            0000636000000000
Precinct  0000637523720                                            0000637000000000
Precinct  0000638523800                                            0000638000000000
Precinct  0000639540300                                            0000639000000000
Precinct  0000640540500                                            0000640000000000
Precinct  0000641540600                                            0000641000000000
Precinct  0000642540700                                            0000642000000000
Precinct  0000643540800                                            0000643000000000
Precinct  0000644541100                                            0000644000000000
Precinct  0000645542000                                            0000645000000000
Precinct  0000646542200                                            0000646000000000
Precinct  0000647543300                                            0000647000000000
Precinct  0000648544400                                            0000648000000000
Precinct  0000649545000                                            0000649000000000
Precinct  0000650546000                                            0000650000000000
Precinct  0000651546100                                            0000651000000000
Precinct  0000652546600                                            0000652000000000
Precinct  0000653547700                                            0000653000000000
Precinct  0000654547710                                            0000654000000000
Precinct  0000655547740                                            0000655000000000
Precinct  0000656547750                                            0000656000000000
Precinct  0000657547780                                            0000657000000000
Precinct  0000658547790                                            0000658000000000
Precinct  0000659821100                                            0000659000000000
Precinct  0000660821110                                            0000660000000000
Precinct  0000661821140                                            0000661000000000
Precinct  0000662821200                                            0000662000000000
Precinct  0000663821210                                            0000663000000000
Precinct  0000664821400                                            0000664000000000
Precinct  0000665821500                                            0000665000000000
Precinct  0000666821600                                            0000666000000000
Precinct  0000667821710                                            0000667000000000
Precinct  0000668821730                                            0000668000000000
Precinct  0000669821800                                            0000669000000000
Precinct  0000670821900                                            0000670000000000
Precinct  0000671821910                                            0000671000000000
Precinct  0000672822000                                            0000672000000000
Precinct  0000673822010                                            0000673000000000
Precinct  0000674822200                                            0000674000000000
Precinct  0000675823000                                            0000675000000000
Precinct  0000676823100                                            0000676000000000
Precinct  0000677823200                                            0000677000000000
Precinct  0000678823400                                            0000678000000000
Precinct  0000679823500                                            0000679000000000
Precinct  0000680823510                                            0000680000000000
Precinct  0000681823600                                            0000681000000000
Precinct  0000682823610                                            0000682000000000
Precinct  0000683823700                                            0000683000000000
Precinct  0000684823710                                            0000684000000000
Precinct  0000685823720                                            0000685000000000
Precinct  0000686823730                                            0000686000000000
