contest,place,state,year,date,office,break_on_overvote,break_on_repeated_skipvotes,multi_winner_rounds,state_code,county,write_ins,master_lookup,chp,candidate_map,parser,idparser,rcv_type,num_winners,path
Cambridge City Council 2001,Cambridge,MA,2001,11/06/2001,City Council,FALSE,FALSE,,,,,,Ballot_Images/Cambridge/2001/Council - Wednesday/*.chp,,prm,,stv_whole_ballot,9,Ballot_Images/Cambridge/2001/Council - Wednesday/*.PRM
Cambridge City Council 2003,Cambridge,MA,2003,11/04/2003,City Council,FALSE,FALSE,,,,,,Ballot_Images/Cambridge/2003/Council/*/*.chp,,prm,,stv_whole_ballot,9,Ballot_Images/Cambridge/2003/Council/*/*.[pPW][rRE][mMD]
Cambridge School Committee 2003,Cambridge,MA,2003,11/04/2003,School Committee,FALSE,FALSE,,,,,,Ballot_Images/Cambridge/2003/School/school.chp,,prm,,stv_whole_ballot,6,Ballot_Images/Cambridge/2003/School/*/*.[pPW][rRE][mMD]
San Francisco District 1 2004,San Francisco,CA,2004,11/05/2004,District 1,TRUE,FALSE,,"""06""","""075""",,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D01-Cntl.txt,old,,rcv_single_winner,1,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D01-Ballots.txt
San Francisco District 11 2004,San Francisco,CA,2004,11/02/2004,District 11,TRUE,FALSE,,"""06""","""075""",,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D11-Cntl.txt,old,,rcv_single_winner,1,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D11-Ballots.txt
San Francisco District 2 2004,San Francisco,CA,2004,11/02/2004,District 2,TRUE,FALSE,,"""06""","""075""",,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D02-Cntl.txt,old,,rcv_single_winner,1,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D02-Ballots.txt
San Francisco District 3 2004,San Francisco,CA,2004,11/02/2004,District 3,TRUE,FALSE,,"""06""","""075""",,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D03-Cntl.txt,old,,rcv_single_winner,1,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D03-Ballots.txt
San Francisco District 5 2004,San Francisco,CA,2004,11/02/2004,District 5,TRUE,FALSE,,"""06""","""075""",,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D05-Cntl.txt,old,,rcv_single_winner,1,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D05-Ballots.txt
San Francisco District 7 2004,San Francisco,CA,2004,11/02/2004,District 7,TRUE,FALSE,,"""06""","""075""",,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D07-Cntl.txt,old,,rcv_single_winner,1,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D07-Ballots.txt
San Francisco District 9 2004,San Francisco,CA,2004,11/02/2004,District 9,TRUE,FALSE,,"""06""","""075""",,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D09-Cntl.txt,old,,rcv_single_winner,1,Ballot_Images/San Francisco/RCVCalc Ballot Images/2004/D09-Ballots.txt
Cambridge City Council 2005,Cambridge,MA,2005,11/08/2005,City Council,FALSE,FALSE,,,,,,Ballot_Images/Cambridge/2005/Council/*/*.chp,,prm,,stv_whole_ballot,9,Ballot_Images/Cambridge/2005/Council/*/*.[pP][rR][mM]
Cambridge School Committee 2005,Cambridge,MA,2005,11/08/2005,School Committee,FALSE,FALSE,,,,,,Ballot_Images/Cambridge/2005/School/*/*.chp,,prm,,stv_whole_ballot,6,Ballot_Images/Cambridge/2005/School/*/*.[pP][rR][mM]
San Francisco Assessor-Recorder 2005,San Francisco,CA,2005,11/08/2005,Assessor-Recorder,TRUE,FALSE,,"""06""","""075""",,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2005/AR-Cntl.txt,old,,rcv_single_winner,1,Ballot_Images/San Francisco/RCVCalc Ballot Images/2005/AR-Ballots.txt
San Francisco Treasurer 2005,San Francisco,CA,2005,11/08/2005,Treasurer,TRUE,FALSE,,"""06""","""075""",,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2005/TR-Cntl.txt,old,,rcv_single_winner,1,Ballot_Images/San Francisco/RCVCalc Ballot Images/2005/TR-Ballots.txt
Burlington Mayor 2006,Burlington,VT,2006,03/07/2006,Mayor,TRUE,FALSE,,,,,,,,burlington,,rcv_single_winner,1,Ballot_Images/Burlington/Burlington Mayor 2006.txt
San Francisco Board of Supervisors District 10 2006,San Francisco,CA,2006,11/07/2006,Board of Supervisors District 10,TRUE,FALSE,,"""06""","""075""",,,,Ballot_Images/San Francisco/RCVCalc Ballot Images/2006/D10-Cntl.txt,old,,rcv_single_winner,1,Ballot_Images/San Francisco/RCVCalc Ballot Images/2006/D10-Ballots.txt
