Candidate 0000403PATRICIA KERNIGHAN                                0000001000003500
Candidate 0000404JENNIFER S. PAE                                   0000002000003500
Candidate 0000078Write-In                                          0000003000003510
Precinct  0000156244500                                            0000155000000000
Precinct  0000157244600                                            0000156000000000
Precinct  0000158244700                                            0000157000000000
Precinct  0000159244800                                            0000158000000000
Precinct  0000160244900                                            0000159000000000
Precinct  0000161245000                                            0000160000000000
Precinct  0000162245100                                            0000161000000000
Precinct  0000163245200                                            0000162000000000
Precinct  0000164260100                                            0000163000000000
Precinct  0000165260300                                            0000164000000000
Precinct  0000166260400                                            0000165000000000
Precinct  0000167260610                                            0000166000000000
Precinct  0000168260800                                            0000167000000000
Precinct  0000169260900                                            0000168000000000
Precinct  0000170261000                                            0000169000000000
Precinct  0000171261300                                            0000170000000000
Precinct  0000172261400                                            0000171000000000
Precinct  0000173261600                                            0000172000000000
Precinct  0000174261700                                            0000173000000000
Precinct  0000175262000                                            0000174000000000
Precinct  0000176262100                                            0000175000000000
Precinct  0000177280100                                            0000176000000000
Precinct  0000178280500                                            0000177000000000
Precinct  0000179280700                                            0000178000000000
Precinct  0000180281000                                            0000179000000000
Precinct  0000181281300                                            0000180000000000
Precinct  0000182281600                                            0000181000000000
Precinct  0000183300000                                            0000182000000000
Precinct  0000184300100                                            0000183000000000
Precinct  0000185300110                                            0000184000000000
Precinct  0000186300120                                            0000185000000000
Precinct  0000187300130                                            0000186000000000
Precinct  0000188300140                                            0000187000000000
Precinct  0000189300150                                            0000188000000000
Precinct  0000190300170                                            0000189000000000
Precinct  0000191300180                                            0000190000000000
Precinct  0000192300200                                            0000191000000000
Precinct  0000193300210                                            0000192000000000
Precinct  0000194300300                                            0000193000000000
Precinct  0000195300400                                            0000194000000000
Precinct  0000196300800                                            0000195000000000
Precinct  0000197301100                                            0000196000000000
Precinct  0000198301200                                            0000197000000000
Precinct  0000199301400                                            0000198000000000
Precinct  0000200301520                                            0000199000000000
Precinct  0000201301800                                            0000200000000000
Precinct  0000202301900                                            0000201000000000
Precinct  0000203302000                                            0000202000000000
Precinct  0000204302100                                            0000203000000000
