Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,1557,2.2761721258831087,3
ANTOINETTE M REYES,336,2.324404761904762,3.0
JOHANA BENCOMO,763,2.3342070773263432,3
ROBERT J PALACIOS,458,2.1441048034934496,3.0
