candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer
CARY KENNETH STOCKWELL,7.85,210.0,30.0,9.006,240.0,-240.0,0.0,0.0,0.0,0.0,0.0,
LINDA CARTER,25.196,674.0,21.0,26.079,695.0,70.0,29.01,765.0,254.0,39.696,1019.0,
SCOTT PINKHAM,5.196,139.0,-139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BRIAN V. HULET,22.991,615.0,37.0,24.465,652.0,40.0,26.242,692.0,-692.0,0.0,0.0,
DOUG WELTON,38.766,1037.0,41.0,40.45,1078.0,102.0,44.748,1180.0,368.0,60.304,1548.0,
exhaust,0.0,0.0,10.0,0.0,10.0,28.0,0.0,38.0,70.0,0.0,108.0,
colsum,99.999,2675.0,0.0,100.0,2675.0,0.0,100.0,2675.0,0.0,100.0,2675.0,
