candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer
CARY KENNETH STOCKWELL,13.082,343.0,76.0,16.078,419.0,-419.0,0.0,0.0,
LINDA CARTER,36.499,957.0,47.0,38.526,1004.0,177.0,46.223,1181.0,
SCOTT PINKHAM,8.467,222.0,-222.0,0.0,0.0,0.0,0.0,0.0,
BRIAN V. HULET,41.953,1100.0,83.0,45.395,1183.0,191.0,53.777,1374.0,
DOUG WELTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,0.0,16.0,0.0,16.0,51.0,0.0,67.0,
colsum,100.001,2622.0,0.0,99.999,2622.0,0.0,100.0,2622.0,
