Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,34869,2.0320915426309902,2
Amy Klobuchar,90,2.7444444444444445,3.0
Andrew Yang,337,2.6468842729970326,3
Bernie Sanders,10754,2.2103403384787055,2.0
Deval Patrick,11,2.727272727272727,3
Elizabeth Warren,1660,2.7849397590361447,3.0
Joseph R. Biden,19577,1.8308218828216785,2
Michael R.,448,2.515625,3.0
Pete Buttigieg,304,2.723684210526316,3.0
Tom Steyer,32,2.6875,3.0
Tulsi Gabbard,1367,2.2158010241404535,3
Uncommitted,289,1.3252595155709344,1
