Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,14542,2.019048273965067,2.0
Amy Klobuchar,33,2.696969696969697,3
Andrew Yang,184,2.641304347826087,3.0
Bernie Sanders,4044,2.236646884272997,3.0
Deval Patrick,4,2.5,3.0
Elizabeth Warren,730,2.749315068493151,3.0
Joseph R. Biden,8580,1.806993006993007,1.0
Michael R.,256,2.48828125,3.0
Pete Buttigieg,150,2.74,3.0
Tom Steyer,13,2.6923076923076925,3
Tulsi Gabbard,443,2.239277652370203,3
Uncommitted,105,1.380952380952381,1
