,"Bowman, Manikka L.","Cisternino, Pia","Cronin, Fran Albin","Crutchfield, Jake W.","Dexter, Emily R.","Fantini, Alfred B.","Harding, Jr., Richard","Kadete, Elechi M.","Kelly, Kathleen M.","Nolan, Patricia M.","Weinstein, David J.",writeIns
first_choice,8.86,3.91,8.44,7.27,8.35,16.20,11.84,2.54,10.18,17.90,4.14,0.37
"Bowman, Manikka L.",,12.48,6.84,9.09,9.63,3.53,9.30,11.24,10.00,6.82,15.09,1.61
"Cisternino, Pia",9.81,,2.75,6.72,11.13,3.09,1.36,6.79,1.99,8.38,6.75,1.61
"Cronin, Fran Albin",7.93,10.81,,3.69,7.20,7.53,5.03,5.39,8.60,12.74,6.03,4.84
"Crutchfield, Jake W.",7.26,11.11,3.53,,6.42,1.91,4.93,8.67,2.16,4.09,7.76,1.61
"Dexter, Emily R.",11.49,11.87,8.32,8.76,,3.05,3.17,8.20,7.43,12.21,6.18,4.84
"Fantini, Alfred B.",5.11,5.48,17.07,4.67,5.85,,19.26,4.92,5.56,7.45,5.17,0.00
"Harding, Jr., Richard",10.42,4.57,5.50,6.88,5.49,25.76,,14.99,10.23,6.99,7.18,6.45
"Kadete, Elechi M.",6.72,2.59,0.85,5.65,4.14,1.65,5.53,,1.70,1.76,4.45,1.61
"Kelly, Kathleen M.",9.48,6.39,12.55,7.04,9.27,10.95,14.38,10.07,,20.43,8.48,3.23
"Nolan, Patricia M.",13.04,19.94,24.12,15.56,24.61,12.61,11.51,8.67,33.98,,15.95,9.68
"Weinstein, David J.",5.31,5.78,4.51,4.67,4.49,3.09,2.92,7.03,3.22,5.16,,0.00
writeIns,0.07,0.15,0.00,0.00,0.07,0.22,0.05,0.00,0.12,0.07,0.14,
exhaust,13.37,8.83,13.96,27.27,11.70,26.61,22.57,14.05,15.03,13.91,16.81,64.52
