,"Craig, Christopher","Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Lummis, Ben","McGovern, Marc C.","Price, Alan C.","Walser, Nancy",writeIns
first_choice,573.00,2905.00,2295.00,2362.00,2604.00,2716.00,1301.00,3842.00,100.00
"Craig, Christopher",,71.00,52.00,48.00,148.00,176.00,37.00,176.00,2.00
"Fantini, Alfred B.",64.00,,1069.00,237.00,126.00,237.00,73.00,299.00,2.00
"Grassi, Joseph G.",33.00,1430.00,,358.00,92.00,131.00,32.00,221.00,0.00
"Harding, Richard, Jr.",24.00,214.00,269.00,,242.00,283.00,208.00,586.00,5.00
"Lummis, Ben",187.00,141.00,56.00,211.00,,732.00,272.00,626.00,7.00
"McGovern, Marc C.",100.00,212.00,91.00,209.00,742.00,,167.00,403.00,2.00
"Price, Alan C.",32.00,96.00,54.00,440.00,387.00,271.00,,758.00,3.00
"Walser, Nancy",56.00,214.00,194.00,298.00,512.00,468.00,397.00,,10.00
writeIns,0.00,2.00,3.00,4.00,3.00,5.00,1.00,7.00,
exhaust,77.00,525.00,507.00,557.00,352.00,413.00,114.00,766.00,69.00
