,"Fantini, Alfred B.","Forster, Bill","Gerber, Joyce C.","Harding, Jr., Richard","Holland, John J.","McGovern, Marc C.","Nolan, Patricia M.","Osborne, Mervan F.","Stead, Sr., Charles Lewis","Tauber, Nancy","Turkel, Alice L.",writeIns
first_choice,15.51,2.16,2.84,12.11,2.54,11.58,13.90,13.51,1.92,9.74,13.81,0.38
"Fantini, Alfred B.",,8.79,6.22,11.24,21.65,9.37,4.52,3.54,10.58,7.65,6.53,6.90
"Forster, Bill",4.81,,11.06,1.51,5.93,1.58,2.68,2.91,6.83,1.34,1.09,3.45
"Gerber, Joyce C.",3.29,29.09,,1.94,6.96,2.37,5.50,3.44,3.75,3.22,2.65,1.72
"Harding, Jr., Richard",16.40,5.45,10.83,,5.15,10.84,8.75,10.80,21.84,4.23,5.97,3.45
"Holland, John J.",6.62,4.55,6.91,2.81,,1.81,2.45,2.62,1.71,1.95,1.42,1.72
"McGovern, Marc C.",14.12,8.79,8.76,16.05,9.79,,15.57,10.61,5.80,12.62,12.59,0.00
"Nolan, Patricia M.",6.37,7.88,14.06,7.35,9.28,18.92,,18.01,3.41,14.56,17.76,3.45
"Osborne, Mervan F.",3.08,7.88,9.68,11.62,9.02,8.19,14.82,,11.26,12.15,9.75,3.45
"Stead, Sr., Charles Lewis",3.37,5.76,2.76,10.21,2.84,1.92,1.36,3.87,,0.81,1.18,1.72
"Tauber, Nancy",7.00,5.76,10.83,6.70,8.76,15.08,16.98,14.77,10.24,,26.66,0.00
"Turkel, Alice L.",7.84,5.45,7.37,9.18,5.15,16.88,16.18,15.25,7.17,29.66,,1.72
writeIns,0.17,0.30,0.00,0.11,0.00,0.06,0.14,0.10,0.34,0.00,0.09,
exhaust,26.94,10.30,11.52,21.29,15.46,12.99,11.05,14.09,17.06,11.81,14.30,72.41
