,"Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Lemily Wiggins, Gail","Malner, Stefan","McGovern, Marc C.","Nolan, Patricia M.","Schuster, Luc","Tauber, Nancy",writeIns
first_choice,15.19,12.27,11.77,7.71,1.00,17.15,12.59,12.65,9.39,0.27
"Fantini, Alfred B.",,60.70,17.91,7.73,4.50,7.18,7.23,9.16,5.96,25.00
"Grassi, Joseph G.",62.15,,23.89,4.03,3.60,4.62,6.82,4.20,4.13,6.25
"Harding, Richard, Jr.",8.57,14.52,,5.15,8.11,12.60,8.51,9.23,4.68,6.25
"Lemily Wiggins, Gail",4.11,4.49,6.56,,20.72,6.93,7.16,9.78,26.42,6.25
"Malner, Stefan",1.35,1.05,1.85,8.40,,2.26,1.08,1.38,3.67,6.25
"McGovern, Marc C.",9.62,6.06,16.74,13.10,30.63,,35.95,25.96,23.03,18.75
"Nolan, Patricia M.",7.45,6.44,16.06,14.45,7.21,35.44,,24.17,15.32,12.50
"Schuster, Luc",3.46,2.47,9.50,13.66,8.11,19.18,20.34,,16.79,6.25
"Tauber, Nancy",3.23,4.19,7.40,33.26,16.22,11.65,12.91,16.05,,12.50
writeIns,0.06,0.07,0.08,0.22,0.90,0.15,0.00,0.07,0.00,
