,Rank 1,Rank 2,Rank 3,Did Not Rank
Lisa Savage,45.13,310.43,466.66,540.57
Max Linn,8.93,143.50,308.35,698.88
Sara Gideon,460.36,553.68,576.04,431.19
Susan Collins,454.25,512.83,554.38,452.85
