,Rank 1,Rank 2,Rank 3,Did Not Rank
Lisa Savage,4.48,30.82,46.33,53.67
Max Linn,0.89,14.25,30.61,69.39
Sara Gideon,45.71,54.97,57.19,42.81
Susan Collins,45.10,50.92,55.04,44.96
