,Rank 1,Rank 2,Rank 3,Did Not Rank
AJ Awed,1722.00,2181.00,2481.00,5565.00
AK Hassan,1066.00,1589.00,1943.00,6103.00
Abdirizak Bihi,1002.00,1316.00,1540.00,6506.00
Alex Palacios,384.00,847.00,1198.00,6848.00
Jamal Osman,2131.00,2627.00,3005.00,5041.00
Joshua Scheunemann,121.00,275.00,442.00,7604.00
Michael P. Dougherty,391.00,549.00,692.00,7354.00
Mohamoud Hassan,135.00,274.00,407.00,7639.00
Nebiha Mohammed,261.00,566.00,878.00,7168.00
Saciido Shaie,333.00,696.00,1036.00,7010.00
Sara Mae Engberg,119.00,308.00,499.00,7547.00
Suud Olat,62.00,187.00,347.00,7699.00
writeIns,19.00,36.00,48.00,7998.00
