,"Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Lummis, Ben","McGovern, Marc C.","Nolan, Patricia M.","Schuster, Luc","Walser, Nancy",writeIns
first_choice,2278.00,1990.00,1979.00,1512.00,1411.00,2385.00,1842.00,2001.00,55.00
"Fantini, Alfred B.",,973.00,214.00,92.00,112.00,114.00,76.00,211.00,1.00
"Grassi, Joseph G.",1127.00,,358.00,60.00,58.00,82.00,56.00,104.00,0.00
"Harding, Richard, Jr.",166.00,253.00,,145.00,159.00,120.00,180.00,133.00,4.00
"Lummis, Ben",100.00,63.00,210.00,,220.00,249.00,269.00,384.00,0.00
"McGovern, Marc C.",157.00,85.00,183.00,246.00,,375.00,239.00,273.00,2.00
"Nolan, Patricia M.",128.00,75.00,131.00,205.00,261.00,,460.00,423.00,7.00
"Schuster, Luc",57.00,41.00,175.00,172.00,152.00,766.00,,187.00,0.00
"Walser, Nancy",121.00,88.00,196.00,419.00,284.00,432.00,322.00,,5.00
writeIns,4.00,6.00,9.00,3.00,0.00,3.00,4.00,2.00,
exhaust,418.00,406.00,503.00,170.00,165.00,244.00,236.00,284.00,36.00
