,"Bowman, Manikka L.","Cronin, Fran A.","Crutchfield, Jake W.","Dexter, Emily R.","Fantini, Alfred B.","Kadete, Elechi M.","Kelly, Kathleen M.","Kimbrough, Laurance V.","MacArthur, William","Mitros, Piotr Flawiusz","Nolan, Patricia M.","Weinstein, David J.",writeIns
first_choice,2768.00,1571.00,1038.00,2376.00,2728.00,845.00,1880.00,1855.00,795.00,511.00,3457.00,797.00,78.00
"Bowman, Manikka L.",,210.00,92.00,291.00,172.00,117.00,223.00,362.00,77.00,52.00,622.00,90.00,3.00
"Cronin, Fran A.",314.00,,77.00,152.00,172.00,45.00,95.00,100.00,49.00,41.00,315.00,70.00,1.00
"Crutchfield, Jake W.",105.00,100.00,,158.00,44.00,71.00,44.00,81.00,73.00,27.00,113.00,46.00,1.00
"Dexter, Emily R.",478.00,205.00,182.00,,186.00,68.00,282.00,243.00,95.00,66.00,674.00,90.00,3.00
"Fantini, Alfred B.",136.00,137.00,52.00,222.00,,63.00,178.00,173.00,29.00,12.00,227.00,40.00,1.00
"Kadete, Elechi M.",207.00,53.00,68.00,79.00,69.00,,43.00,141.00,39.00,38.00,99.00,36.00,1.00
"Kelly, Kathleen M.",259.00,144.00,51.00,287.00,420.00,48.00,,108.00,54.00,23.00,464.00,59.00,1.00
"Kimbrough, Laurance V.",278.00,76.00,57.00,175.00,223.00,90.00,73.00,,88.00,31.00,126.00,36.00,1.00
"MacArthur, William",68.00,47.00,77.00,81.00,76.00,24.00,49.00,93.00,,52.00,83.00,19.00,0.00
"Mitros, Piotr Flawiusz",55.00,30.00,48.00,95.00,27.00,38.00,32.00,49.00,39.00,,88.00,40.00,1.00
"Nolan, Patricia M.",440.00,281.00,119.00,562.00,413.00,74.00,489.00,197.00,92.00,76.00,,106.00,6.00
"Weinstein, David J.",87.00,61.00,46.00,82.00,89.00,34.00,53.00,87.00,39.00,43.00,146.00,,1.00
writeIns,2.00,1.00,1.00,0.00,5.00,0.00,1.00,3.00,2.00,1.00,2.00,3.00,
exhaust,339.00,226.00,168.00,192.00,832.00,173.00,318.00,218.00,119.00,49.00,498.00,162.00,58.00
