,"Bowman, Manikka L.","Cisternino, Pia","Cronin, Fran Albin","Crutchfield, Jake W.","Dexter, Emily R.","Fantini, Alfred B.","Harding, Jr., Richard","Kadete, Elechi M.","Kelly, Kathleen M.","Nolan, Patricia M.","Weinstein, David J.",writeIns
first_choice,8.86,3.91,8.44,7.27,8.35,16.21,11.84,2.54,10.18,17.90,4.14,0.37
"Bowman, Manikka L.",,12.50,6.85,9.09,9.63,3.53,9.31,11.27,10.00,6.82,14.96,1.61
"Cisternino, Pia",9.81,,2.75,6.72,11.13,3.09,1.36,6.81,1.99,8.39,6.76,1.61
"Cronin, Fran Albin",7.93,10.82,,3.69,7.20,7.53,5.03,5.40,8.60,12.75,6.04,4.84
"Crutchfield, Jake W.",7.26,11.13,3.53,,6.42,1.91,4.88,8.69,2.16,4.09,7.77,1.61
"Dexter, Emily R.",11.49,11.89,8.33,8.76,,3.05,3.17,8.22,7.43,12.21,6.19,4.84
"Fantini, Alfred B.",5.11,5.49,17.08,4.67,5.85,,19.27,4.93,5.56,7.45,5.18,0.00
"Harding, Jr., Richard",10.42,4.57,5.50,6.88,5.49,25.76,,14.79,10.23,6.99,7.19,6.45
"Kadete, Elechi M.",6.72,2.59,0.85,5.65,4.14,1.65,5.43,,1.70,1.76,4.46,1.61
"Kelly, Kathleen M.",9.48,6.40,12.49,7.04,9.20,10.95,14.39,10.09,,20.43,8.49,3.23
"Nolan, Patricia M.",13.04,19.97,24.14,15.56,24.61,12.61,11.52,8.69,33.98,,15.97,9.68
"Weinstein, David J.",5.31,5.79,4.52,4.67,4.49,3.09,2.92,7.04,3.22,5.16,,0.00
writeIns,0.07,0.15,0.00,0.00,0.07,0.22,0.05,0.00,0.12,0.07,0.14,
exhaust,13.37,8.69,13.97,27.27,11.77,26.61,22.69,14.08,15.03,13.88,16.83,64.52
