,"Davis, Henrietta","Decker, Marjorie C.","Galluccio, Anthony D.","Janik, Jonathan S.","Kelley, Craig A.","Maher, David P.","Moore, M. Kevin","Moree, Gregg J.","Murphy, Brian","Podgers, Kathy","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Sullivan, Edward J.","Toomey, Timothy J., Jr.","Ward, Larry W.",writeIns
first_choice,11.69,7.84,3.83,1.91,8.21,9.62,1.84,0.82,8.51,0.68,8.93,7.62,7.30,6.09,9.81,5.13,0.18
"Davis, Henrietta",,24.88,3.54,12.66,15.29,6.01,3.98,2.00,23.42,6.98,7.90,20.66,18.38,3.19,8.10,15.96,6.67
"Decker, Marjorie C.",27.78,,9.38,6.55,8.45,7.11,4.87,6.00,14.73,5.81,9.74,8.98,14.96,5.05,8.28,8.21,6.67
"Galluccio, Anthony D.",3.23,7.63,,5.68,2.37,8.38,3.98,3.00,3.02,0.00,5.88,2.20,3.10,11.97,19.86,5.02,6.67
"Janik, Jonathan S.",1.58,1.39,2.08,,2.47,1.52,2.21,5.00,2.17,2.33,0.74,4.49,0.75,1.86,1.05,2.89,6.67
"Kelley, Craig A.",7.64,5.25,5.83,6.11,,6.60,1.77,7.00,8.59,11.63,3.03,11.08,4.38,3.19,4.09,9.12,0.00
"Maher, David P.",4.81,4.76,16.88,6.99,9.31,,3.10,8.00,7.18,2.33,2.94,4.19,2.78,21.81,17.42,3.04,0.00
"Moore, M. Kevin",0.20,1.68,3.75,7.86,2.56,1.78,,18.00,0.94,15.12,5.97,1.90,4.81,3.19,0.61,7.45,6.67
"Moree, Gregg J.",0.33,0.50,0.83,0.87,1.42,1.27,8.41,,0.09,1.16,0.83,0.70,0.32,1.20,1.31,1.06,0.00
"Murphy, Brian",15.54,10.41,3.75,9.17,13.30,9.39,4.87,7.00,,4.65,4.41,17.07,5.66,3.59,3.40,8.81,6.67
"Podgers, Kathy",0.53,0.99,0.83,2.18,1.71,0.68,1.33,6.00,0.94,,0.64,1.00,0.75,0.93,0.52,0.46,6.67
"Reeves, Kenneth E.",4.61,7.93,10.00,4.37,3.89,3.55,21.68,7.00,6.23,8.14,,3.79,20.41,3.72,5.57,6.99,13.33
"Seidel, Sam",10.40,8.42,2.92,12.66,17.28,3.64,6.64,5.00,15.96,18.60,5.51,,6.73,1.33,1.31,11.40,26.67
"Simmons, E. Denise",15.21,13.88,5.21,3.49,8.07,3.81,12.83,6.00,7.84,11.63,33.92,9.28,,2.93,5.14,13.83,0.00
"Sullivan, Edward J.",0.99,2.68,12.08,3.93,2.28,22.93,3.54,6.00,1.98,4.65,5.06,1.90,4.27,,20.99,3.04,6.67
"Toomey, Timothy J., Jr.",2.76,5.35,20.00,6.11,4.46,20.81,4.87,10.00,2.17,2.33,7.72,1.70,4.06,33.38,,2.58,6.67
"Ward, Larry W.",4.41,4.26,2.50,10.92,7.12,2.54,15.93,4.00,4.72,4.65,5.70,10.98,8.55,2.39,2.26,,0.00
writeIns,0.00,0.00,0.42,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.11,0.27,0.09,0.15,
