,"Cronin, Fran Albin","Fantini, Alfred B.","Gerber, Joyce C.","Harding, Jr., Richard","Holland, John J.","Kadete, Elechi M.","Kelly, Kathleen M.","Nolan, Patricia M.","Osborne, Mervan F.",writeIns
first_choice,11.04,17.23,6.78,14.22,3.55,2.97,12.67,23.64,7.46,0.43
"Cronin, Fran Albin",,6.32,15.10,4.69,10.43,10.98,18.15,13.64,16.70,6.25
"Fantini, Alfred B.",10.28,,8.88,26.06,22.61,9.07,7.34,11.44,12.64,6.25
"Gerber, Joyce C.",16.22,8.25,,5.03,9.78,6.21,9.78,15.47,6.42,6.25
"Harding, Jr., Richard",6.27,35.18,8.29,,10.22,20.53,11.66,13.30,15.19,18.75
"Holland, John J.",3.88,10.42,8.59,3.89,,7.64,4.49,3.91,1.60,6.25
"Kadete, Elechi M.",4.91,3.23,3.46,6.80,12.39,,6.37,3.39,5.85,0.00
"Kelly, Kathleen M.",18.23,9.85,15.20,12.06,10.22,17.42,,15.93,13.02,25.00
"Nolan, Patricia M.",27.54,20.13,33.27,26.34,19.57,14.56,30.83,,28.40,25.00
"Osborne, Mervan F.",12.41,6.47,6.91,14.80,4.78,13.60,11.32,22.55,,6.25
writeIns,0.26,0.14,0.30,0.34,0.00,0.00,0.06,0.37,0.19,
