,"Craig, Christopher","Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Lummis, Ben","McGovern, Marc C.","Price, Alan C.","Walser, Nancy",writeIns
first_choice,556.00,2884.00,2276.00,2344.00,2588.00,2702.00,1293.00,3823.00,97.00
"Craig, Christopher",,69.00,48.00,46.00,147.00,175.00,36.00,174.00,2.00
"Fantini, Alfred B.",63.00,,1068.00,234.00,124.00,234.00,73.00,298.00,2.00
"Grassi, Joseph G.",32.00,1426.00,,357.00,92.00,129.00,31.00,220.00,0.00
"Harding, Richard, Jr.",24.00,212.00,266.00,,241.00,283.00,206.00,585.00,5.00
"Lummis, Ben",186.00,140.00,56.00,209.00,,731.00,271.00,623.00,7.00
"McGovern, Marc C.",99.00,210.00,91.00,207.00,739.00,,166.00,401.00,2.00
"Price, Alan C.",31.00,90.00,52.00,439.00,384.00,268.00,,757.00,2.00
"Walser, Nancy",56.00,212.00,194.00,295.00,512.00,465.00,393.00,,10.00
writeIns,0.00,2.00,2.00,4.00,3.00,4.00,1.00,7.00,
exhaust,65.00,523.00,499.00,553.00,346.00,413.00,116.00,758.00,67.00
