,"Bowman, Manikka L.","Cisternino, Pia","Cronin, Fran Albin","Crutchfield, Jake W.","Dexter, Emily R.","Fantini, Alfred B.","Harding, Jr., Richard","Kadete, Elechi M.","Kelly, Kathleen M.","Nolan, Patricia M.","Weinstein, David J.",writeIns
first_choice,8.86,3.91,8.44,7.27,8.35,16.21,11.84,2.54,10.18,17.90,4.14,0.37
"Bowman, Manikka L.",,13.69,7.96,12.50,10.91,4.81,12.04,13.11,11.77,7.92,17.99,4.55
"Cisternino, Pia",11.33,,3.20,9.23,12.61,4.21,1.76,7.92,2.34,9.74,8.13,4.55
"Cronin, Fran Albin",9.15,11.85,,5.07,8.16,10.27,6.51,6.28,10.12,14.80,7.27,13.64
"Crutchfield, Jake W.",8.38,12.19,4.10,,7.28,2.60,6.31,10.11,2.55,4.75,9.34,4.55
"Dexter, Emily R.",13.27,13.02,9.68,12.05,,4.16,4.10,9.56,8.74,14.18,7.44,13.64
"Fantini, Alfred B.",5.90,6.01,19.85,6.42,6.63,,24.92,5.74,6.54,8.66,6.23,0.00
"Harding, Jr., Richard",12.02,5.01,6.40,9.46,6.22,35.10,,17.21,12.04,8.11,8.65,18.18
"Kadete, Elechi M.",7.76,2.84,0.98,7.77,4.69,2.25,7.03,,2.00,2.05,5.36,4.55
"Kelly, Kathleen M.",10.94,7.01,14.52,9.68,10.43,14.92,18.61,11.75,,23.72,10.21,9.09
"Nolan, Patricia M.",15.05,21.87,28.06,21.40,27.89,17.18,14.90,10.11,39.99,,19.20,27.27
"Weinstein, David J.",6.13,6.34,5.25,6.42,5.09,4.21,3.77,8.20,3.79,5.99,,0.00
writeIns,0.08,0.17,0.00,0.00,0.08,0.30,0.07,0.00,0.14,0.08,0.17,
