,"Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Lemily Wiggins, Gail","Malner, Stefan","McGovern, Marc C.","Nolan, Patricia M.","Schuster, Luc","Tauber, Nancy",writeIns
first_choice,15.18,12.26,11.77,7.72,1.00,17.16,12.61,12.63,9.39,0.27
"Fantini, Alfred B.",,49.91,13.65,6.74,3.76,6.29,6.40,7.94,5.22,11.11
"Grassi, Joseph G.",52.61,,18.19,3.52,3.01,4.04,6.04,3.64,3.61,2.78
"Harding, Richard, Jr.",7.20,11.88,,4.49,6.77,11.03,7.54,8.00,4.10,2.78
"Lemily Wiggins, Gail",3.48,3.69,5.00,,17.29,6.07,6.34,8.48,23.13,2.78
"Malner, Stefan",1.14,0.74,1.41,7.32,,1.93,0.96,1.19,3.21,2.78
"McGovern, Marc C.",8.15,4.98,12.68,11.43,25.56,,31.82,22.51,20.16,8.33
"Nolan, Patricia M.",6.26,5.23,12.24,12.60,6.02,31.03,,20.90,13.41,5.56
"Schuster, Luc",2.93,2.03,7.24,11.82,6.77,16.79,18.00,,14.70,2.78
"Tauber, Nancy",2.73,3.45,5.64,29.00,13.53,10.20,11.42,13.91,,5.56
writeIns,0.05,0.06,0.06,0.20,0.75,0.13,0.00,0.06,0.00,
exhaust,15.45,18.03,23.89,12.89,16.54,12.48,11.48,13.37,12.45,55.56
