,"Benzan, Dennis A.","Carlone, Dennis J.","Cheung, Leland","Connolly, Mike","Courtney, Kim","Davidson, Mariko","Degoes, Jr., Plinio T.","Devereux, Jan","Dietrich, Xavier","Kelley, Craig A.","Levy, Ilan S.","Maher, David P.","Mahoney, Jr., Paul F.","Mazen, Nadeem A.","McGovern, Marc C.","Mello, Gary W.","Moree, Gregg J.","Sanzone, John","Simmons, E. Denise","Toomey, Jr., Timothy J.","Waite, Romaine","Williamson, James M.","vanBeuzekom, Minka Y.",writeIns
first_choice,1159.00,1002.00,1189.00,841.00,72.00,853.00,51.00,1307.00,27.00,1434.00,153.00,1637.00,251.00,1929.00,1202.00,119.00,78.00,32.00,1715.00,1416.00,274.00,72.00,1014.00,27.00
"Benzan, Dennis A.",,26.00,74.00,21.00,1.00,19.00,2.00,23.00,1.00,73.00,3.00,132.00,14.00,74.00,163.00,4.00,5.00,0.00,366.00,122.00,25.00,6.00,47.00,0.00
"Carlone, Dennis J.",77.00,,57.00,176.00,3.00,30.00,1.00,312.00,0.00,80.00,5.00,35.00,1.00,190.00,29.00,8.00,0.00,0.00,48.00,17.00,9.00,3.00,94.00,0.00
"Cheung, Leland",84.00,81.00,,40.00,1.00,74.00,1.00,92.00,1.00,216.00,9.00,133.00,12.00,102.00,173.00,5.00,7.00,3.00,167.00,79.00,9.00,1.00,117.00,1.00
"Connolly, Mike",21.00,230.00,35.00,,3.00,60.00,5.00,170.00,2.00,53.00,19.00,18.00,9.00,128.00,30.00,5.00,1.00,1.00,37.00,64.00,13.00,5.00,85.00,2.00
"Courtney, Kim",7.00,1.00,11.00,12.00,,10.00,0.00,8.00,11.00,7.00,8.00,3.00,1.00,13.00,2.00,6.00,0.00,0.00,11.00,3.00,3.00,0.00,10.00,1.00
"Davidson, Mariko",16.00,28.00,63.00,61.00,6.00,,6.00,49.00,2.00,46.00,16.00,9.00,1.00,433.00,41.00,5.00,3.00,4.00,28.00,12.00,34.00,1.00,49.00,0.00
"Degoes, Jr., Plinio T.",1.00,0.00,9.00,5.00,4.00,14.00,,8.00,0.00,1.00,2.00,3.00,0.00,5.00,1.00,2.00,0.00,0.00,4.00,1.00,3.00,1.00,4.00,0.00
"Devereux, Jan",11.00,155.00,51.00,127.00,10.00,62.00,5.00,,1.00,78.00,8.00,57.00,9.00,93.00,38.00,4.00,0.00,1.00,33.00,6.00,18.00,2.00,79.00,1.00
"Dietrich, Xavier",3.00,0.00,3.00,1.00,21.00,1.00,3.00,12.00,,2.00,2.00,0.00,1.00,1.00,3.00,2.00,0.00,1.00,3.00,1.00,2.00,0.00,3.00,0.00
