,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Did Not Rank
BRIAN V. HULET,22.25,50.72,68.67,80.61,87.26,12.74
CARY KENNETH STOCKWELL,7.60,18.99,37.99,61.72,79.41,20.59
DOUG WELTON,37.52,61.83,78.69,85.20,89.15,10.85
LINDA CARTER,24.38,43.63,62.55,73.52,84.48,15.52
SCOTT PINKHAM,5.03,13.10,26.05,45.80,76.16,23.84
