,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Did Not Rank
ANTHONY JENKINS,8.36,21.22,34.89,47.93,58.72,68.62,75.63,24.37
CRISTY WELSH,31.12,53.42,70.05,78.87,82.46,85.79,88.49,11.51
DAVID LAURET,13.85,30.76,43.88,57.19,67.72,76.35,79.32,20.68
G. TYCE FLAKE,24.55,45.77,63.58,73.65,78.06,83.00,86.60,13.40
HECTOR RAFAEL HERNANDEZ,7.91,12.68,20.23,29.32,44.87,63.67,71.31,28.69
KEITH KUDER,8.99,17.36,24.37,29.41,34.35,40.11,66.64,33.36
TAY GUDMUNDSON,3.15,8.90,17.81,33.45,50.54,62.77,69.60,30.40
