,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Did Not Rank
ANTHONY JENKINS,93.00,236.00,388.00,533.00,653.00,763.00,841.00,271.00
CRISTY WELSH,346.00,594.00,779.00,877.00,917.00,954.00,984.00,128.00
DAVID LAURET,154.00,342.00,488.00,636.00,753.00,849.00,882.00,230.00
G. TYCE FLAKE,273.00,509.00,707.00,819.00,868.00,923.00,963.00,149.00
HECTOR RAFAEL HERNANDEZ,88.00,141.00,225.00,326.00,499.00,708.00,793.00,319.00
KEITH KUDER,100.00,193.00,271.00,327.00,382.00,446.00,741.00,371.00
TAY GUDMUNDSON,35.00,99.00,198.00,372.00,562.00,698.00,774.00,338.00
