,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Did Not Rank
BRIAN V. HULET,615.00,1402.00,1898.00,2228.00,2412.00,352.00
CARY KENNETH STOCKWELL,210.00,525.00,1050.00,1706.00,2195.00,569.00
DOUG WELTON,1037.00,1709.00,2175.00,2355.00,2464.00,300.00
LINDA CARTER,674.00,1206.00,1729.00,2032.00,2335.00,429.00
SCOTT PINKHAM,139.00,362.00,720.00,1266.00,2105.00,659.00
