Ballots with first choice:,Number of Ballots,"Crafts, Lydia V. ranked in top 3","Levesque, David J. ranked in top 3","Pieh, Wendy ranked in top 3"
"Crafts, Lydia V.",1011,1011,788,836
"Levesque, David J.",273,213,273,224
"Pieh, Wendy",741,548,501,741
