Ballots with first choice:,Number of Ballots,"Abbott, Heather ranked in top 3","Bell, Arthur L. ranked in top 3","Fromuth, Peter J. ranked in top 3"
"Abbott, Heather",873.0,100.0,79.15,76.63
"Bell, Arthur L.",971.0,76.21,100.0,77.65
"Fromuth, Peter J.",582.0,80.07,82.99,100.0
