Ballots with first choice:,Number of Ballots,"Bennett, Adrienne ranked in top 3","Brakey, Eric L. ranked in top 3","Crafts, Dale John ranked in top 3"
"Bennett, Adrienne",13487.0,100.0,62.5,67.83
"Brakey, Eric L.",9563.0,59.33,100.0,63.03
"Crafts, Dale John",19380.0,57.2,53.58,100.0
