Ballots with first choice:,Number of Ballots,"Curry, Glenn Chip ranked in top 3","Pattavina, Charles F. ranked in top 3","Stanicki, Robyn M. ranked in top 3"
"Curry, Glenn Chip",1858,1858,1378,1381
"Pattavina, Charles F.",1030,770,1030,771
"Stanicki, Robyn M.",1282,1095,1044,1282
