Ballots with first choice:,Number of Ballots,"Bennett, Adrienne ranked in top 3","Brakey, Eric L. ranked in top 3","Crafts, Dale John ranked in top 3"
"Bennett, Adrienne",13487,13487,8429,9148
"Brakey, Eric L.",9563,5674,9563,6028
"Crafts, Dale John",19380,11086,10383,19380
