Ballots with first choice:,Number of Ballots,"Abbott, Heather ranked in top 3","Bell, Arthur L. ranked in top 3","Fromuth, Peter J. ranked in top 3"
"Abbott, Heather",873,873,691,669
"Bell, Arthur L.",971,740,971,754
"Fromuth, Peter J.",582,466,483,582
