Ballots with first choice:,Number of Ballots,"Crafts, Lydia V. ranked in top 3","Levesque, David J. ranked in top 3","Pieh, Wendy ranked in top 3"
"Crafts, Lydia V.",921.0,100.0,77.52,82.95
"Levesque, David J.",252.0,78.17,100.0,82.14
"Pieh, Wendy",611.0,75.45,68.9,100.0
