Ballots with first choice:,Number of Ballots,"Curry, Glenn Chip ranked in top 3","Pattavina, Charles F. ranked in top 3","Stanicki, Robyn M. ranked in top 3"
"Curry, Glenn Chip",1858.0,100.0,74.17,74.33
"Pattavina, Charles F.",1030.0,74.76,100.0,74.85
"Stanicki, Robyn M.",1282.0,85.41,81.44,100.0
