Ballots with first choice:,Number of Ballots,% of votes to G. TYCE FLAKE,% of votes to CRISTY WELSH,% of votes to exhaust,percent_sum
ANTHONY JENKINS,93.0,43.01,52.69,4.3,99.99999999999999
CRISTY WELSH,346.0,0.0,100.0,0.0,100.0
DAVID LAURET,154.0,48.7,46.75,4.55,100.0
G. TYCE FLAKE,273.0,100.0,0.0,0.0,100.0
HECTOR RAFAEL HERNANDEZ,88.0,32.95,55.68,11.36,99.99999999999999
KEITH KUDER,100.0,33.0,46.0,21.0,100.0
TAY GUDMUNDSON,35.0,22.86,71.43,5.71,99.99999999999999
