candidate,r1_active_percent,r1_count,r1_transfer
"Pieh, Wendy",34.268,611.0,
"Levesque, David J.",14.133,252.0,
"Crafts, Lydia V.",51.598,920.0,
exhaust,0.0,5.0,
colsum,99.999,1788.0,
