candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer
"Perreault, Corinne Ann",28.262,613.0,-613.0,0.0,0.0,
"Arford, Poppy",41.448,899.0,290.0,57.301,1189.0,
"Wilson, Katherine E.",30.29,657.0,229.0,42.699,886.0,
exhaust,0.0,4.0,94.0,0.0,98.0,
colsum,100.0,2173.0,0.0,100.0,2173.0,
