candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer
"Stanicki, Robyn M.",30.71,1280.0,431.0,43.262,1711.0,
"Curry, Glenn Chip",44.578,1858.0,386.0,56.738,2244.0,
"Pattavina, Charles F.",24.712,1030.0,-1030.0,0.0,0.0,
exhaust,0.0,10.0,213.0,0.0,223.0,
colsum,100.00000000000001,4178.0,0.0,100.0,4178.0,
