,ANTHONY JENKINS,CRISTY WELSH,DAVID LAURET,G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ,KEITH KUDER,TAY GUDMUNDSON
first_choice,8.54,31.77,14.14,25.07,8.08,9.18,3.21
ANTHONY JENKINS,,20.23,6.49,12.45,15.91,7.00,22.86
CRISTY WELSH,46.24,,29.87,35.16,30.68,21.00,42.86
DAVID LAURET,2.15,16.76,,34.80,13.64,19.00,5.71
G. TYCE FLAKE,34.41,33.82,31.82,,10.23,24.00,14.29
HECTOR RAFAEL HERNANDEZ,2.15,7.23,3.90,4.03,,7.00,5.71
KEITH KUDER,4.30,6.07,20.13,6.96,18.18,,5.71
TAY GUDMUNDSON,8.60,8.38,5.19,2.56,6.82,6.00,
exhaust,2.15,7.51,2.60,4.03,4.55,16.00,2.86
