,BRIAN V. HULET,CARY KENNETH STOCKWELL,DOUG WELTON,LINDA CARTER,SCOTT PINKHAM
first_choice,22.99,7.85,38.77,25.20,5.20
BRIAN V. HULET,,14.63,49.34,36.28,28.68
CARY KENNETH STOCKWELL,8.14,,13.50,16.43,23.26
DOUG WELTON,50.62,38.05,,41.40,31.78
LINDA CARTER,32.04,22.93,28.73,,16.28
SCOTT PINKHAM,9.20,24.39,8.43,5.89,
