,ANTHONY JENKINS,CRISTY WELSH,DAVID LAURET,G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ,KEITH KUDER,TAY GUDMUNDSON
first_choice,8.54,31.77,14.14,25.07,8.08,9.18,3.21
ANTHONY JENKINS,,21.88,6.67,12.98,16.67,8.33,23.53
CRISTY WELSH,47.25,,30.67,36.64,32.14,25.00,44.12
DAVID LAURET,2.20,18.12,,36.26,14.29,22.62,5.88
G. TYCE FLAKE,35.16,36.56,32.67,,10.71,28.57,14.71
HECTOR RAFAEL HERNANDEZ,2.20,7.81,4.00,4.20,,8.33,5.88
KEITH KUDER,4.40,6.56,20.67,7.25,19.05,,5.88
TAY GUDMUNDSON,8.79,9.06,5.33,2.67,7.14,7.14,
