Precinct,1st Choice,2nd Choice,3rd Choice,Count
MINNEAPOLIS W-3 P-05,Chris Meyer,undervote,undervote,1
MINNEAPOLIS W-1 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-03,Billy Menz,Mohamed Issa Barre,UWI,1
MINNEAPOLIS W-1 P-05,Billy Menz,Chris Meyer,undervote,1
MINNEAPOLIS W-1 P-06,Chris Meyer,Mohamed Issa Barre,Billy Menz,1
MINNEAPOLIS W-1 P-09,Chris Meyer,Billy Menz,Mohamed Issa Barre,1
MINNEAPOLIS W-1 P-03,Billy Menz,Mohamed Issa Barre,Chris Meyer,1
MINNEAPOLIS W-3 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-1 P-09,Chris Meyer,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Billy Menz,undervote,undervote,1
MINNEAPOLIS W-3 P-02,Billy Menz,Mohamed Issa Barre,Chris Meyer,1
MINNEAPOLIS W-2 P-06,Billy Menz,Mohamed Issa Barre,undervote,1
MINNEAPOLIS W-3 P-02,Chris Meyer,undervote,undervote,1
MINNEAPOLIS W-3 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-2 P-05,Chris Meyer,Billy Menz,Mohamed Issa Barre,1
MINNEAPOLIS W-1 P-02,Billy Menz,Mohamed Issa Barre,Chris Meyer,1
MINNEAPOLIS W-1 P-03,Chris Meyer,Billy Menz,undervote,1
MINNEAPOLIS W-2 P-10,Billy Menz,undervote,undervote,1
MINNEAPOLIS W-1 P-03,Mohamed Issa Barre,Chris Meyer,Billy Menz,1
MINNEAPOLIS W-2 P-06,Chris Meyer,Billy Menz,undervote,1
MINNEAPOLIS W-1 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-01,Chris Meyer,Billy Menz,undervote,1
MINNEAPOLIS W-1 P-03,Chris Meyer,Billy Menz,Mohamed Issa Barre,1
MINNEAPOLIS W-3 P-02,Chris Meyer,Mohamed Issa Barre,Billy Menz,1
MINNEAPOLIS W-2 P-06,Chris Meyer,Mohamed Issa Barre,undervote,1
MINNEAPOLIS W-3 P-05,Chris Meyer,undervote,undervote,1
MINNEAPOLIS W-3 P-03,Chris Meyer,undervote,undervote,1
MINNEAPOLIS W-3 P-10,Mohamed Issa Barre,undervote,undervote,1
MINNEAPOLIS W-3 P-03,Billy Menz,undervote,undervote,1
MINNEAPOLIS W-3 P-03,Billy Menz,Chris Meyer,undervote,1
MINNEAPOLIS W-3 P-03,Mohamed Issa Barre,undervote,undervote,1
