Ballots with first choice:,Number of Ballots,ABDI ABDULLE ranked in top 3,ALONDRA CANO ranked in top 3,CHARLES CURTIS ranked in top 3,GREGORY MCDONALD ranked in top 3,PAT FLEETHAM ranked in top 3,TY MOORE ranked in top 3,writeIns ranked in top 3
ABDI ABDULLE,286.0,100.0,25.52,8.04,10.49,13.64,20.28,0.35
ALONDRA CANO,1698.0,29.68,100.0,20.97,12.6,21.61,48.17,1.88
CHARLES CURTIS,338.0,10.65,44.38,100.0,13.61,26.04,37.28,1.48
GREGORY MCDONALD,117.0,23.08,45.3,10.26,100.0,63.25,15.38,0.0
PAT FLEETHAM,153.0,17.65,45.75,22.22,39.22,100.0,26.8,0.65
TY MOORE,1569.0,24.41,64.75,21.8,7.97,19.69,100.0,2.36
writeIns,18.0,0.0,16.67,0.0,0.0,5.56,16.67,100.0
