Ballots with first choice:,Number of Ballots,"Curry, Glenn Chip ranked in top 3","Pattavina, Charles F. ranked in top 3","Stanicki, Robyn M. ranked in top 3"
"Curry, Glenn Chip",2294,2294,1694,1699
"Pattavina, Charles F.",1317,1000,1317,998
"Stanicki, Robyn M.",1672,1422,1351,1672
