Ballots with first choice:,Number of Ballots,Andrea Jenkins ranked in top 3,April Kane ranked in top 3,David Holsinger ranked in top 3,Terry White ranked in top 3,writeIns ranked in top 3
Andrea Jenkins,5766.0,100.0,51.65,7.06,49.5,1.25
April Kane,715.0,79.86,100.0,15.1,43.36,2.24
David Holsinger,390.0,32.31,28.72,100.0,41.03,5.38
Terry White,1009.0,62.74,49.95,21.21,100.0,1.09
writeIns,17.0,17.65,0.0,11.76,5.88,100.0
