Ballots with first choice:,Number of Ballots,GORDON WOZNIAK ranked in top 3,JACQUELYN McCORMICK ranked in top 3,STEWART JONES ranked in top 3,writeIns ranked in top 3
GORDON WOZNIAK,2806.0,100.0,57.63,58.3,1.5
JACQUELYN McCORMICK,881.0,58.8,100.0,76.5,1.36
STEWART JONES,889.0,62.32,77.28,100.0,3.6
writeIns,25.0,32.0,8.0,32.0,100.0
