Ballots with first choice:,Number of Ballots,Charlie Walker ranked in top 3,Dwayne Jusino ranked in top 3,Espanola Jackson ranked in top 3,Marie L. Harrison ranked in top 3,Rodney Hampton Jr. ranked in top 3,Sala Chandler ranked in top 3,Sophie Maxwell ranked in top 3
Charlie Walker,481,481,54,116,88,130,44,151
Dwayne Jusino,1723,120,1723,467,352,425,188,623
Espanola Jackson,1483,222,257,1483,356,400,174,516
Marie L. Harrison,1166,141,126,382,1166,341,135,447
Rodney Hampton Jr.,1196,183,247,332,396,1196,141,444
Sala Chandler,276,37,63,84,90,58,276,97
Sophie Maxwell,7997,620,1123,1515,1925,1479,559,7997
