Ballots with first choice:,Number of Ballots,Al Flowers ranked in top 3,Bill McGaughey ranked in top 3,Bob Carney Jr. ranked in top 3,Christopher Clark ranked in top 3,Dick Franson ranked in top 3,James R. Everett ranked in top 3,Joey Lombard ranked in top 3,John Charles Wilson ranked in top 3,Papa John Kolstad ranked in top 3,R.T. Rybak ranked in top 3,Tom Fiske ranked in top 3,writeIns ranked in top 3
Al Flowers,1795,1795,35,44,89,683,130,138,20,315,724,170,10
Bill McGaughey,232,37,232,18,30,40,15,18,14,79,45,12,1
Bob Carney Jr.,228,17,21,228,32,27,8,22,7,45,60,11,3
Christopher Clark,1337,65,103,88,1337,100,60,196,35,346,240,38,31
Dick Franson,1579,552,57,43,122,1579,27,107,17,264,618,66,9
James R. Everett,357,123,14,16,27,52,357,27,10,54,120,30,4
Joey Lombard,444,63,29,30,65,49,19,444,18,80,169,50,13
John Charles Wilson,137,19,13,20,12,12,11,19,137,29,33,22,1
Papa John Kolstad,4953,648,311,276,782,511,167,478,97,4953,1306,360,65
R.T. Rybak,33234,6241,279,402,958,6453,515,1555,129,3323,33234,1526,180
Tom Fiske,650,168,21,22,35,80,27,102,22,127,375,650,4
writeIns,211,12,3,0,6,23,8,14,3,51,48,3,211
